"","b_force_diffdaysavg","b_force_absdiffdaysavg","b_force_diffdayssum","b_force_diffdaysSD"
"Betula",-0.393021854873575,0.615568786247992,83.7546443981232,NA
"Fagus",-0.045684010034636,2.26006706701791,228.008964466799,NA
"Quercus",1.88941643864045,2.33561470405145,422.625635951296,NA
"Acer",-0.207253242572285,1.30957493774023,96.4983049717534,NA
"Ulmus",0.161185167092411,1.12107573052663,73.5204863236953,NA
"Viburnum",-0.0441410767038607,1.5703268113558,118.31808020223,NA
"Populus",-0.010608892994031,0.242192508760837,13.7254791541338,NA
"Prunus",-0.021611726634722,1.22546023179643,66.3071596084261,NA
"Alnus",0.121513538377631,0.793894360440672,48.4636635070571,NA
"Fraxinus",-0.0326846431608793,0.607771997486435,34.959561286077,NA
"Tilia",0.0502999379984684,0.989782706558888,54.1501531254008,NA
"Sorbus",-0.111187258356632,2.61745620280178,259.650684107335,NA
"Ilex",NA,NA,NA,NA
"Carpinus",0.00524707924655783,0.470218482308685,32.0532909427815,NA
"Aesculus",-0.197929333888837,0.941958274365875,73.6886955491481,NA
"Cornus",-0.293319481172343,1.96863146038435,178.748170228489,NA
"Rhamnus",0.119173054964978,2.18455201196954,193.765482456104,NA
"Syringa",-0.105519330419457,1.63959170875003,111.431461420139,NA
"Lonicera",-0.00022132832205212,1.83441208518311,130.656795498344,NA
"Rhododendron",-0.0703884538856878,2.21581196101852,165.839840229538,NA
"Salix",-0.0805422322015862,2.75456419300555,316.891787022136,NA
"Hamamelis",0.0963723150028403,1.29022050240068,89.1909173778057,NA
"Juglans",-0.0719533811666127,2.07973297681019,189.467049245391,NA
"Celtis",-0.00363255228572056,1.55337885618626,109.394313801869,NA
"Corylus",NA,NA,NA,NA
